character,betweenness,rank
Ivor Dillonsby,0.00011530009155631674,316
Percival Dumbledore,0.00011511025340188353,317
Abraxas Malfoy,0.00011209762557907126,318
Scabior,0.00011004220753316532,319
Morfin Gaunt,0.00010948761838088933,320
Dexter Fortescue,0.00010801899605349616,321
Fluffy,9.940787660069792e-05,322
Mary Cattermole,9.140383940093531e-05,323
Bletchley,9.05495998937293e-05,324
Ernest Prang,8.926447915151639e-05,325
Fubster,8.841992015135569e-05,326
Baruffio,8.302296066247957e-05,327
Florean Fortescue,8.110853648882313e-05,328
Wilkes,7.362716652405357e-05,329
Mary Macdonald,6.570540038644261e-05,330
Wilkie Twycross,6.295482824527958e-05,331
Vaisey,5.821166839779274e-05,332
Dorcas Meadowes,5.81334474875101e-05,333
Chudley Cannons,5.09338432915354e-05,334
Dragomir Gorgovitch,4.9720374411819994e-05,335
Vasily Dimitrov,4.8488177868484394e-05,336
James Potter II,4.6697117003661876e-05,337
Billy Stubbs,4.3589524989538684e-05,338
Urg the Unclean,4.101911246277792e-05,339
Leanne,3.6556323971819797e-05,340
Andromeda Tonks,3.3111584069040584e-05,341
Caractacus Burke,2.3909299917335376e-05,342
Violet,2.283493565624613e-05,343
Jim McGuffin,2.257716503792293e-05,344
Eloise Midgen,2.0339823115169346e-05,345
Myrtle Warren,1.816735468575783e-05,346
Armando Dippet,1.5952265573931088e-05,347
Bilius,1.5208918624014433e-05,348
Barnabas the Barmy,1.4202641365721095e-05,349
Binky,1.3213370462505711e-05,350
Summers,1.2817845516962903e-05,351
Selwyn,9.515319967586627e-06,352
Mandy Brocklehurst,8.619746993518751e-06,353
Keeper of the reptile house,5.427476679135237e-06,354
Arcus,5.138323673284829e-06,355
Livius,5.138323673284829e-06,356
Bane,4.130327163214599e-06,357
Eldred Worple,1.7617109736976554e-06,358
Olive Hornby,1.5012841341075672e-06,359
Arnold Peasegood,1.3299190683796024e-06,360
Rose Granger-Weasley,0.0,361
Prentice,0.0,362
Pierre Bonaccord,0.0,363
Patrick Delaney-Podmore,0.0,364
Owner of the Railview Hotel,0.0,365
Orion Black,0.0,366
Willy Widdershins,0.0,367
Mosag,0.0,368
Marsh,0.0,369
Wagga Wagga Werewolf,0.0,370
Janus Thickey,0.0,371
Alphard Black,0.0,372
Lisa Turpin,0.0,373
Joey Jenkins,0.0,374
Silvanus Kettleburn,0.0,375
Ambrosius Flume,0.0,376
Alfred Cattermole,0.0,377
Ellie Cattermole,0.0,378
Summerby,0.0,379
Hereward,0.0,380
Maisie Cattermole,0.0,381
Graham Pritchard,0.0,382
Jack Sloper,0.0,383
Natalie McDonald,0.0,384
Ripper,0.0,385
Stewart Ackerley,0.0,386
Merope Riddle,0.0,387
Elfric the Eager,0.0,388
Yvonne,0.0,389
Perenelle Flamel,0.0,390
Quentin Trimble,0.0,391
Newton Scamander,0.0,392
Warty Harris,0.0,393
Mr Tibbles,0.0,394
Winky,0.0,395
Martin Miggs,0.0,396
Ragnok,0.0,397
Otto Bagman,0.0,398
Leprechaun,0.0,399
Lachlan the Lanky,0.0,400
Hengist of Woodcroft,0.0,401
Proudfoot,0.0,402
Amy Benson,0.0,403
Victoire Weasley,0.0,404
Odo,0.0,405
Laura Madley,0.0,406
Hector Dagworth-Granger,0.0,407
Wilfred the Wistful,0.0,408
Urquhart,0.0,409
Unicorn,0.0,410
Terence Higgs,0.0,411
Bob Ogden,0.0,412
Dennis Bishop,0.0,413
Septima Vector,0.0,414
Ogden,0.0,415
Veronica Smethley,0.0,416
Patricia Stimpson,0.0,417
Angus Fleet,0.0,418
Basil,0.0,419
Harper,0.0,420
Dot,0.0,421
Bertie Higgs,0.0,422
Doris Purkiss,0.0,423
Eric Whalley,0.0,424
Blood-Sucking Bugbear,0.0,425
Bloody Baron,0.0,426
Boa constrictor at the zoo,0.0,427
Gordon,0.0,428
Dennis,0.0,429
Z. Nettles,0.0,430
Demetrius Prod,0.0,431
Bogrod,0.0,432
Bones family,0.0,433
Boris the Bewildered,0.0,434
Gilbert Wimple,0.0,435
Cuthbert Mockridge,0.0,436
Bowman Wright,0.0,437
Miriam Strout,0.0,438
Saul Croaker,0.0,439
Oblansk,0.0,440
Bungy,0.0,441
Cornelius Agrippa,0.0,442
Mary Dorkins,0.0,443
Cassandra Vablatsky,0.0,444
Chambers,0.0,445
Charity Burbage,0.0,446
Bernie,0.0,447
Morag MacDougal,0.0,448
Penelope Clearwater,0.0,449
Herbert Chorley,0.0,450
Norberta,0.0,451
Vicky Frobisher,0.0,452
Geoffrey Hooper,0.0,453
Hetty Bayliss,0.0,454
Gamp,0.0,455
Antioch Peverell,0.0,456
Cadmus Peverell,0.0,457
Fridwulfa,0.0,458
Kenneth Towler,0.0,459
Apolline Delacour,0.0,460
Araminta Meliflua Black,0.0,461
Fergus,0.0,462
Euan Abercrombie,0.0,463
Lancelot (Healer),0.0,464
Arkie Philpott,0.0,465
Arsenius Jigger,0.0,466
Uric the Oddball,0.0,467
Elladora Black,0.0,468
Dai Llewellyn,0.0,469
Sanguini,0.0,470
Hippocrates Smethwyck,0.0,471
Babbitty Rabbity,0.0,472
Bandon Banshee,0.0,473
Ronan,0.0,474
Mason,0.0,475
Barnabas Cuffe,0.0,476
Bozo,0.0,477
Tenebrus,0.0,478
