char_a,char_b,common_neighbors_after_book5,is_dead_character,is_historical_figure,is_narrative_exit,genuine_refusal
Angelina Johnson,Gilderoy Lockhart,20,False,False,True,False
Pomona Sprout,Sirius Black,20,True,False,False,False
Poppy Pomfrey,Rita Skeeter,20,False,False,False,True
Ginevra Weasley,Pansy Parkinson,20,False,False,False,True
Ginevra Weasley,Pomona Sprout,20,False,False,False,True
Fred Weasley,Pomona Sprout,20,False,False,False,True
George Weasley,Lavender Brown,20,False,False,False,True
George Weasley,Pomona Sprout,20,False,False,False,True
Gilderoy Lockhart,Oliver Wood,20,False,False,True,False
Gilderoy Lockhart,Rowena Ravenclaw,20,False,True,True,False
Gilderoy Lockhart,William Weasley,20,False,False,True,False
Ginevra Weasley,Igor Karkaroff,20,False,False,False,True
Ginevra Weasley,Marcus Flint,20,False,False,False,True
Buckbeak,George Weasley,20,False,False,False,True
Mungo Bonham,Rubeus Hagrid,20,False,False,False,True
Gregory Goyle,Helga Hufflepuff,20,False,True,False,False
Rolanda Hooch,Sirius Black,20,True,False,False,False
Dean Thomas,Lee Jordan,20,False,False,False,True
Alastor Moody,Luna Lovegood,20,False,False,False,True
Gregory Goyle,Sybill Trelawney,20,False,False,False,True
Seamus Finnigan,Sybill Trelawney,19,False,False,False,True
Remus Lupin,Rowena Ravenclaw,19,False,True,False,False
Seamus Finnigan,Vincent Crabbe,19,False,False,False,True
Peeves,Poppy Pomfrey,19,False,False,False,True
Oliver Wood,Viktor Krum,19,False,False,True,False
Dobby,Helga Hufflepuff,19,False,True,False,False
Dean Thomas,Ludovic Bagman,19,False,False,False,True
Oliver Wood,Sybill Trelawney,19,False,False,True,False
Rita Skeeter,Salazar Slytherin,19,False,True,False,False
Remus Lupin,Viktor Krum,19,False,False,False,True
Father Christmas,Lee Jordan,19,False,True,False,False
Dobby,Rowena Ravenclaw,19,False,True,False,False
Draco Malfoy,Fat Lady,19,False,False,False,True
Ernest Macmillan,Salazar Slytherin,19,False,True,False,False
Ernest Macmillan,Poppy Pomfrey,19,False,False,False,True
Godric Gryffindor,Igor Karkaroff,19,False,True,False,False
Gregory Goyle,Lee Jordan,19,False,False,False,True
Gregory Goyle,Rowena Ravenclaw,19,False,True,False,False
Gregory Goyle,Seamus Finnigan,19,False,False,False,True
Hedwig,Seamus Finnigan,19,False,False,False,True
Helga Hufflepuff,Katie Bell,19,False,True,False,False
Helga Hufflepuff,Molly Weasley,19,False,True,False,False
Molly Weasley,Seamus Finnigan,19,False,False,False,True
Justin Finch-Fletchley,Oliver Wood,19,False,False,True,False
Justin Finch-Fletchley,Tom Riddle,19,False,False,False,True
Katie Bell,Sirius Black,19,True,False,False,False
Ludovic Bagman,Seamus Finnigan,19,False,False,False,True
Ludovic Bagman,Sybill Trelawney,19,False,False,False,True
Ludovic Bagman,Vincent Crabbe,19,False,False,False,True
Molly Weasley,Oliver Wood,19,False,False,True,False
Dobby,Sybill Trelawney,19,False,False,False,True
Dean Thomas,Lucius Malfoy,19,False,False,False,True
Fat Lady,Remus Lupin,19,False,False,False,True
Dean Thomas,Katie Bell,19,False,False,False,True
Cassius Warrington,Draco Malfoy,19,False,False,False,True
Bartemius Crouch Senior,Gregory Goyle,19,True,False,False,False
Alastor Moody,Angelina Johnson,19,False,False,False,True
Bartemius Crouch Senior,Sybill Trelawney,19,True,False,False,False
Alicia Spinnet,Graham Montague,19,False,False,False,True
Alicia Spinnet,Gilderoy Lockhart,19,False,False,True,False
Colin Creevey,Dean Thomas,19,False,False,False,True
Cornelius Fudge,Gregory Goyle,19,False,False,False,True
Buckbeak,Molly Weasley,19,False,False,False,True
Buckbeak,Neville Longbottom,19,False,False,False,True
Cassius Warrington,Hermione Granger,19,False,False,False,True
Bartemius Crouch Senior,Dean Thomas,19,True,False,False,False
Cedric Diggory,Justin Finch-Fletchley,19,True,False,False,False
